Contributors,Currency,Age,Relationship,Children,Additional Children,Amount to retire,FI rate,Retire age,Wage
2,United States Dollars (USD),36-40,Married,,,,,,
2,United States Dollars (USD),31-35,Married,,2.0,,,31-35,
2,United States Dollars (USD),26-30,Married,,2.0,1000000.0,15.0,46-50,200000.0
2,United States Dollars (USD),31-35,Married,1.0,,4000000.0,25.0,46-50,320000.0
2,United States Dollars (USD),46-50,Married,,,,,,
1,United States Dollars (USD),26-30,"In a relationship, but not married",,4.0,1800000.0,1.0,51-55,127000.0
2,United States Dollars (USD),26-30,Married,,2.0,,,,
2,United States Dollars (USD),46-50,Married,,,,,,
1,United States Dollars (USD),36-40,"Single, never married",,,2250000.0,45.0,41-45,
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,1200000.0,33.0,46-50,
2,United States Dollars (USD),36-40,Married,1.0,1.0,3500000.0,50.0,56-60,375000.0
2,United States Dollars (USD),41-45,Married,2.0,0.0,2000000.0,62.5,51-55,275000.0
2,United States Dollars (USD),31-35,Married,,,2500000.0,52.0,51-55,350000.0
2,United States Dollars (USD),41-45,Married,,,,,,
2,United States Dollars (USD),46-50,Married,4.0,0.0,,,,
2,United States Dollars (USD),41-45,Married,,,2000000.0,70.0,41-45,350000.0
2,United States Dollars (USD),41-45,Married,,,,,41-45,375000.0
1,United States Dollars (USD),31-35,"Single, never married",,,,,31-35,260000.0
2,United States Dollars (USD),31-35,Married,,,,,,
1,United States Dollars (USD),46-50,"Single, never married",,,1300000.0,37.0,51-55,126000.0
2,Canadian Dollars (CAD),46-50,Married,1.0,0.0,2250000.0,83.0,46-50,
2,United States Dollars (USD),26-30,Married,,1.0,1500000.0,17.0,41-45,121900.0
1,United States Dollars (USD),21-25,"Single, never married",,,1375000.0,27.0,36-40,202000.0
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,,,31-35,180000.0
1,United States Dollars (USD),31-35,"Single, never married",,,2000000.0,17.5,56-60,
2,United States Dollars (USD),26-30,Married,,,2800000.0,15.0,46-50,245000.0
2,United States Dollars (USD),31-35,Married,,,2080800.0,36.0,46-50,210000.0
2,United States Dollars (USD),26-30,Married,,,2500000.0,22.0,41-45,163000.0
2,United States Dollars (USD),31-35,Married,1.0,1.0,3000000.0,30.0,51-55,
2,United States Dollars (USD),26-30,Married,,3.0,1500000.0,25.0,41-45,150000.0
2,United States Dollars (USD),41-45,Married,,,,,51-55,
1,United States Dollars (USD),26-30,"Single, never married",,,4000000.0,9.0,41-45,129849.0
2,United States Dollars (USD),26-30,Married,,2.0,,,,
2,United States Dollars (USD),26-30,"In a relationship, but not married",,,,,31-35,
2,Canadian Dollars (CAD),36-40,"Divorced - In a relationship, but not married",,2.0,3750000.0,10.0,51-55,225000.0
2,United States Dollars (USD),,,,,,,,
1,United States Dollars (USD),26-30,"Single, never married",,,1500000.0,20.0,36-40,180000.0
1,United States Dollars (USD),21-25,"In a relationship, but not married",,3.0,1000000.0,40.0,21-25,228000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,6.0,2000000.0,10.0,51-55,104000.0
1,United States Dollars (USD),26-30,"Single, never married",,,1800000.0,6.0,46-50,72250.0
1,United States Dollars (USD),31-35,"Single, never married",,,2000000.0,15.0,51-55,
1,United States Dollars (USD),26-30,Married,2.0,0.0,2500000.0,50.0,41-45,180000.0
2,United States Dollars (USD),36-40,Married,3.0,0.0,2000000.0,60.0,46-50,225000.0
2,United States Dollars (USD),36-40,Married,2.0,0.0,,,,
2,Canadian Dollars (CAD),31-35,"In a relationship, but not married",,,,,,
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,5000000.0,30.0,46-50,200000.0
2,United States Dollars (USD),31-35,Married,,,3000000.0,20.0,41-45,264000.0
1,United States Dollars (USD),21-25,"Single, never married",,,1000000.0,75.0,26-30,56000.0
1,United States Dollars (USD),26-30,"Single, never married",,,1600000.0,12.0,36-40,96000.0
1,United States Dollars (USD),31-35,"Single, never married",,2.0,,,46-50,220000.0
2,United States Dollars (USD),26-30,Married,,2.0,3000000.0,30.0,36-40,267000.0
1,United States Dollars (USD),26-30,"Single, never married",,,1000000.0,29.0,41-45,130000.0
1,United States Dollars (USD),31-35,"Single, never married",,2.0,3000000.0,20.0,51-55,250000.0
1,United States Dollars (USD),36-40,Married,,1.0,,,Undecided,2200000.0
2,Canadian Dollars (CAD),31-35,"In a relationship, but not married",,,1875000.0,20.0,46-50,105000.0
1,United States Dollars (USD),26-30,"Single, never married",,2.0,750000.0,60.0,36-40,135000.0
2,United States Dollars (USD),46-50,Married,2.0,0.0,6000000.0,55.0,51-55,883000.0
1,United States Dollars (USD),,,,,,,,
2,United States Dollars (USD),36-40,Married,1.0,1.0,2500000.0,95.0,41-45,199000.0
2,United States Dollars (USD),31-35,Married,,,2000000.0,25.0,51-55,110000.0
1,United States Dollars (USD),36-40,"Single, never married",,,4000000.0,66.0,51-55,160000.0
1,United States Dollars (USD),36-40,Married,2.0,0.0,3200000.0,85.0,41-45,186000.0
1,United States Dollars (USD),26-30,"Single, never married",,2.0,,,,
1,United States Dollars (USD),36-40,Married,3.0,0.0,1850000.0,40.0,51-55,135000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,,,,
1,United States Dollars (USD),46-50,"In a relationship, but not married",,,2500000.0,75.0,46-50,300000.0
2,United States Dollars (USD),26-30,Married,,,2500000.0,60.0,36-40,450000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,,3000000.0,19.0,Undecided,152000.0
